datetime,latitude,longitude
250103.0855,25.486,-103.398
250103.0855,25.604,-100.921
250103.0855,25.696,-100.298
250103.0855,25.722,-100.302
250103.0855,25.748,-100.235
250103.0855,26.009,-107.001
250103.0855,26.013,-107
250103.0855,26.019,-106.995
250103.0855,26.023,-107.002
250103.0855,26.655,-106.815
250103.0855,26.705,-106.896
250103.0855,27.072,-107.404
250103.0855,27.073,-107.407
250103.0855,27.076,-107.407
250103.0855,27.269,-101.166
250103.0855,27.661,-107.472
250103.0855,27.664,-107.472
250103.0855,27.667,-107.471
250103.0855,28.077,-108.115
250103.0855,28.685,-106.089
250103.0855,28.929,-110.827
250103.0855,28.953,-111.335
250103.0855,28.954,-111.34
250103.0855,29.037,-111.513
250103.0855,29.791,-96.483
250103.0855,30.024,-95.964
250103.0855,30.024,-95.962
250103.0855,30.029,-95.962
250103.0855,30.495,-109.629
250103.0855,30.499,-109.629
250103.0855,30.608,-107.346
250103.0855,30.865,-107.421
250103.0855,30.869,-107.424
250103.0855,31.091,-103.613
250103.0855,31.132,-108.212
250103.0855,31.135,-108.211
250103.0855,31.288,-103.673
250103.0855,31.552,-103.12
250103.0855,31.583,-102.959
250103.0855,31.728,-101.971
250103.0855,31.775,-103.629
250103.0855,31.965,-106.585
250103.0855,32.069,-102.588
250103.0855,32.216,-101.85
250103.0855,32.221,-103.527
250103.0855,32.222,-103.53
250103.0855,32.249,-101.579
250103.0855,32.695,-103.69
250103.0855,33.412,-110.86
250103.0855,33.416,-110.864
250103.0855,33.416,-110.859
250103.0855,33.42,-110.863
250103.0855,34.293,-118.803
250103.0855,34.43,-118.645
250103.0858,17.927,-102.203
250103.0858,17.928,-102.208
250103.0858,17.93,-102.207
250103.0858,17.934,-102.213
250103.0858,17.936,-102.212
250103.0858,17.946,-102.21
250103.0858,18.278,-100.275
250103.0858,18.278,-100.274
250103.0858,18.409,-96.21
250103.0858,18.968,-97.965
250103.0858,18.981,-103.874
250103.0858,19.006,-104.26
250103.0858,19.171,-98.322
250103.0858,19.172,-98.32
250103.0858,19.177,-96.243
250103.0858,19.342,-96.705
250103.0858,19.346,-96.704
250103.0858,19.674,-103.378
250103.0858,19.972,-99.183
250103.0858,20.009,-99.179
250103.0858,20.013,-99.177
250103.0858,20.03,-99.272
250103.0858,20.03,-99.268
250103.0858,20.032,-99.267
250103.0858,20.033,-99.271
250103.0858,20.046,-99.289
250103.0858,20.047,-99.293
250103.0858,20.048,-99.288
250103.0858,20.049,-99.292
250103.0858,20.052,-99.288
250103.0858,20.373,-105.055
250103.0858,20.522,-100.923
250103.0858,20.523,-100.926
250103.0858,20.575,-101.173
250103.0858,20.578,-101.163
250103.0858,20.58,-101.172
250103.0858,20.58,-101.169
250103.0858,20.888,-101.838
250103.0858,22.26,-97.804
250103.0858,22.261,-97.809
250103.0858,22.266,-97.803
250103.0858,23.382,-110.164
250103.0858,25.394,-107.068
250103.0858,25.435,-108.461
250103.1033,37.453,-121.93
250103.1036,34.29,-118.801
250103.1223,19.389,-155.288
250103.1223,19.39,-155.292
250103.1223,19.391,-155.3
250103.1223,19.391,-155.276
250103.1223,19.393,-155.287
250103.1223,19.393,-155.267
250103.1223,19.394,-155.295
250103.1223,19.394,-155.291
250103.1223,19.394,-155.271
250103.1223,19.395,-155.299
250103.1223,19.395,-155.275
250103.1223,19.396,-155.283
250103.1223,19.396,-155.279
250103.1223,19.397,-155.287
250103.1223,19.397,-155.266
250103.1223,19.398,-155.291
250103.1223,19.398,-155.27
250103.1223,19.399,-155.298
250103.1223,19.399,-155.294
250103.1223,19.399,-155.274
250103.1223,19.4,-155.282
250103.1223,19.4,-155.278
250103.1223,19.401,-155.265
250103.1223,19.402,-155.269
250103.1223,19.403,-155.298
250103.1223,19.403,-155.294
250103.1223,19.403,-155.273
250103.1223,19.404,-155.302
250103.1223,19.404,-155.281
250103.1223,19.404,-155.277
250103.1223,19.407,-155.297
250103.1223,19.407,-155.293
250103.1223,19.407,-155.272
250103.1223,19.408,-155.301
250103.1223,19.408,-155.28
250103.1223,19.408,-155.276
250103.1223,19.411,-155.292
250103.1223,19.411,-155.271
250103.1223,19.412,-155.3
250103.1223,19.412,-155.296
250103.1223,19.412,-155.275
250103.1223,19.413,-155.279
250103.1223,19.414,-155.287
250103.1223,19.415,-155.291
250103.1223,19.415,-155.27
250103.1223,19.416,-155.295
250103.1223,19.416,-155.274
250103.1223,19.417,-155.282
250103.1223,19.417,-155.278
250103.1223,19.418,-155.287
250103.1223,19.422,-155.286
250103.1223,19.422,-155.282
250103.1223,19.426,-155.281
250103.1827,17.895,-92.489
250103.1827,19.366,-92.009
250103.1827,19.392,-92.046
250103.1827,19.443,-92.089
250103.1827,19.52,-92.191
250103.1827,19.598,-92.299
250103.1827,19.599,-92.293
250103.1827,20.021,-77.429
250103.1827,20.263,-75.764
250103.1827,20.266,-75.765
250103.1827,20.267,-75.76
250103.1827,20.289,-75.204
250103.1827,20.297,-77.044
250103.1827,20.304,-76.974
250103.1827,20.334,-77.034
250103.1827,20.336,-76.846
250103.1827,20.393,-76.838
250103.1827,20.424,-76.643
250103.1827,20.442,-77.019
250103.1827,20.45,-76.984
250103.1827,20.498,-76.867
250103.1827,20.757,-77.719
250103.1827,20.758,-77.715
250103.1827,21.858,-82.839
250103.1827,21.87,-80.108
